? checkElements(11, 28, 40)

N = 11

[a, b] = [6, 9]    -2.4918333840935065645 E-45
[a, b] = [7, 7]    5.125123891005587712 E-58
[a, b] = [7, 8]    3.471135928213337856 E-45
[a, b] = [7, 9]    -1.0828816845678904113882354442098932909 E-44
[a, b] = [8, 8]    -2.3938396403867213784 E-58
[a, b] = [8, 9]    3.1875912607287694682170442524938859471 E-44
[a, b] = [9, 9]    -1.3842325401647614196 E-117

Cycle #2
[a, b] = [1, 1]    4.287017554077283520 E-58
[a, b] = [1, 2]    1.3860772723780653734128381455966608337 E-44
[a, b] = [1, 3]    -1.6740588887552216214 E-44
[a, b] = [1, 4]    3.682536417715529348 E-44
[a, b] = [1, 5]    -3.923987648825970392 E-44
[a, b] = [1, 6]    -2.357360668640071671 E-44
[a, b] = [1, 7]    7.950812256487615115 E-44
[a, b] = [1, 8]    -1.1959618193803775665907508740375030557 E-44
[a, b] = [1, 9]    9.8878254300700153001357945244885206919 E-46
[a, b] = [2, 2]    -2.0931116586404918425 E-58
[a, b] = [2, 3]    -1.4975931699851140821 E-44
[a, b] = [2, 4]    4.7238098886488174885632600446387352893 E-45
[a, b] = [2, 5]    1.2297128936456043721 E-44
[a, b] = [2, 6]    -1.9709264055099993806 E-45
[a, b] = [2, 7]    -9.7351731710877841204349046175099172243 E-45
[a, b] = [2, 8]    -1.7924315663506087691 E-59
[a, b] = [2, 9]    1.0247647523148164261592093283329341126 E-44
[a, b] = [3, 3]    1.4830681028379283213 E-58
[a, b] = [3, 4]    1.8605940299141207211 E-44
[a, b] = [3, 5]    2.789938216321566865 E-44
[a, b] = [3, 6]    -1.9669496608868583707021730301089015760 E-45
[a, b] = [3, 7]    2.722788045468606737 E-44
[a, b] = [3, 8]    -7.532411958033470114 E-45
[a, b] = [3, 9]    2.6225995478494817822956523313609099319 E-45
[a, b] = [4, 4]    0.E-59
[a, b] = [4, 5]    -3.3319096311886288649208041336128135191 E-44
[a, b] = [4, 6]    3.791968546947127615 E-44
[a, b] = [4, 7]    -3.842616425813690262 E-59
[a, b] = [4, 8]    -2.8743930604271244354537589095839955843 E-44
[a, b] = [4, 9]    1.0289854551726536501064594374333559894 E-44
[a, b] = [5, 5]    -3.811219134107150871 E-58
[a, b] = [5, 6]    3.495566052594746077 E-44
[a, b] = [5, 7]    -8.873331362787025699 E-45
[a, b] = [5, 8]    2.0757581490449150723 E-58
[a, b] = [5, 9]    2.3029241760159916488799442663724056977 E-44
[a, b] = [6, 6]    -3.032116171153040168 E-59
[a, b] = [6, 7]    -2.608232916316015627 E-44
[a, b] = [6, 8]    -9.175754865199450539 E-45
[a, b] = [6, 9]    -6.5564988696220750937596600136156184255 E-46
[a, b] = [7, 7]    2.1777719885517279575 E-58
[a, b] = [7, 8]    -1.9695468496654912221 E-44
[a, b] = [7, 9]    -5.1247435206074938704458043108483935725 E-46
[a, b] = [8, 8]    0.E-58
[a, b] = [8, 9]    1.0970835650797049916 E-44
[a, b] = [9, 9]    -9.228216934431742797 E-118

N = 19

Cycle #1
[a, b] = [1, 1]    -4.692353059330025599 E-58
[a, b] = [1, 2]    -1.0523055249069081307310190719014902344 E-45
[a, b] = [1, 3]    2.0163960130121578234 E-44
[a, b] = [1, 4]    1.3146022337439570914 E-44
[a, b] = [1, 5]    8.987557190686775530 E-45
[a, b] = [1, 6]    -5.028530976726086757 E-45
[a, b] = [1, 7]    -4.855275039478798337 E-45
[a, b] = [1, 8]    2.421462217080103950 E-44
[a, b] = [1, 9]    -8.451521669525366742 E-60
[a, b] = [2, 2]    -2.2780277785850980823 E-58
[a, b] = [2, 3]    1.2694719222758096062 E-44
[a, b] = [2, 4]    1.5280519973314234395171572843765560879 E-44
[a, b] = [2, 5]    -1.9335764598588186141 E-44
[a, b] = [2, 6]    -2.350384258143137305 E-44
[a, b] = [2, 7]    4.985288751684348754 E-44
[a, b] = [2, 8]    3.275307954053193535 E-44
[a, b] = [2, 9]    -2.254841174429728084 E-44
[a, b] = [3, 3]    -7.414719794987914096 E-59
[a, b] = [3, 4]    -2.610865058164208439 E-44
[a, b] = [3, 5]    -2.0950067934503854545 E-44
[a, b] = [3, 6]    4.1573953417034610156525463286636921548 E-44
[a, b] = [3, 7]    1.7546619033754964296 E-44
[a, b] = [3, 8]    -4.657439117522573547 E-58
[a, b] = [3, 9]    2.5643236514363145608 E-45
[a, b] = [4, 4]    2.130220321502388791 E-59
[a, b] = [4, 5]    1.2181665258226806383 E-44
[a, b] = [4, 6]    6.062404730360109969 E-44
[a, b] = [4, 7]    5.519031848435814630 E-45
[a, b] = [4, 8]    -6.3999873012160804640569206441039376693 E-45
[a, b] = [4, 9]    -1.2466695473338181235 E-44
[a, b] = [5, 5]    -3.843946498261751428 E-58
[a, b] = [5, 6]    -4.222721801154451053 E-44
[a, b] = [5, 7]    0.E-59
[a, b] = [5, 8]    9.305192688471992876 E-45
[a, b] = [5, 9]    2.8057934796395910709 E-58
[a, b] = [6, 6]    -3.385499905346058475 E-59
[a, b] = [6, 7]    6.945831943644320021 E-59
[a, b] = [6, 8]    3.292202532306921199 E-44
[a, b] = [6, 9]    -4.815735183026567649 E-44
[a, b] = [7, 7]    5.890528621452492842 E-59
